연도,지역,차종,대수
2022,서울특별시,친환경차,43588
2022,서울특별시,내연기관차,3008234
2023,서울특별시,친환경차,62546
2023,서울특별시,내연기관차,2989276
2024,서울특별시,친환경차,76040
2024,서울특별시,내연기관차,2975782
2025,서울특별시,친환경차,86784
2025,서울특별시,내연기관차,2965038
2026,서울특별시,친환경차,105253
2026,서울특별시,내연기관차,2946569
2022,부산광역시,친환경차,13830
2022,부산광역시,내연기관차,1499810
2023,부산광역시,친환경차,24051
2023,부산광역시,내연기관차,1489589
2024,부산광역시,친환경차,36853
2024,부산광역시,내연기관차,1476787
2025,부산광역시,친환경차,46840
2025,부산광역시,내연기관차,1466800
2026,부산광역시,친환경차,63635
2026,부산광역시,내연기관차,1450005
2022,대구광역시,친환경차,16487
2022,대구광역시,내연기관차,1200332
2023,대구광역시,친환경차,24658
2023,대구광역시,내연기관차,1192161
2024,대구광역시,친환경차,31027
2024,대구광역시,내연기관차,1185792
2025,대구광역시,친환경차,35793
2025,대구광역시,내연기관차,1181026
2026,대구광역시,친환경차,43478
2026,대구광역시,내연기관차,1173341
2022,인천광역시,친환경차,13963
2022,인천광역시,내연기관차,1654516
2023,인천광역시,친환경차,28002
2023,인천광역시,내연기관차,1640477
2024,인천광역시,친환경차,42805
2024,인천광역시,내연기관차,1625674
2025,인천광역시,친환경차,57370
2025,인천광역시,내연기관차,1611109
2026,인천광역시,친환경차,83017
2026,인천광역시,내연기관차,1585462
2022,광주광역시,친환경차,6148
2022,광주광역시,내연기관차,702003
2023,광주광역시,친환경차,10301
2023,광주광역시,내연기관차,697850
2024,광주광역시,친환경차,13768
2024,광주광역시,내연기관차,694383
2025,광주광역시,친환경차,16558
2025,광주광역시,내연기관차,691593
2026,광주광역시,친환경차,20518
2026,광주광역시,내연기관차,687633
2022,대전광역시,친환경차,8546
2022,대전광역시,내연기관차,710179
2023,대전광역시,친환경차,15665
2023,대전광역시,내연기관차,703060
2024,대전광역시,친환경차,19502
2024,대전광역시,내연기관차,699223
2025,대전광역시,친환경차,23186
2025,대전광역시,내연기관차,695539
2026,대전광역시,친환경차,27351
2026,대전광역시,내연기관차,691374
2022,울산광역시,친환경차,5380
2022,울산광역시,내연기관차,589198
2023,울산광역시,친환경차,7644
2023,울산광역시,내연기관차,586934
2024,울산광역시,친환경차,10703
2024,울산광역시,내연기관차,583875
2025,울산광역시,친환경차,12797
2025,울산광역시,내연기관차,581781
2026,울산광역시,친환경차,16326
2026,울산광역시,내연기관차,578252
2022,세종특별자치시,친환경차,2010
2022,세종특별자치시,내연기관차,194343
2023,세종특별자치시,친환경차,3342
2023,세종특별자치시,내연기관차,193011
2024,세종특별자치시,친환경차,4855
2024,세종특별자치시,내연기관차,191498
2025,세종특별자치시,친환경차,6050
2025,세종특별자치시,내연기관차,190303
2026,세종특별자치시,친환경차,7966
2026,세종특별자치시,내연기관차,188387
2022,경기도,친환경차,43846
2022,경기도,내연기관차,6456249
2023,경기도,친환경차,83992
2023,경기도,내연기관차,6416103
2024,경기도,친환경차,122242
2024,경기도,내연기관차,6377853
2025,경기도,친환경차,160334
2025,경기도,내연기관차,6339761
2026,경기도,친환경차,216637
2026,경기도,내연기관차,6283458
2022,강원특별자치도,친환경차,9845
2022,강원특별자치도,내연기관차,840085
2023,강원특별자치도,친환경차,16609
2023,강원특별자치도,내연기관차,833321
2024,강원특별자치도,친환경차,20951
2024,강원특별자치도,내연기관차,828979
2025,강원특별자치도,친환경차,23783
2025,강원특별자치도,내연기관차,826147
2026,강원특별자치도,친환경차,28336
2026,강원특별자치도,내연기관차,821594
2022,충청북도,친환경차,9148
2022,충청북도,내연기관차,911129
2023,충청북도,친환경차,16943
2023,충청북도,내연기관차,903334
2024,충청북도,친환경차,22091
2024,충청북도,내연기관차,898186
2025,충청북도,친환경차,27484
2025,충청북도,내연기관차,892793
2026,충청북도,친환경차,35511
2026,충청북도,내연기관차,884766
2022,충청남도,친환경차,10798
2022,충청남도,내연기관차,1236218
2023,충청남도,친환경차,17876
2023,충청남도,내연기관차,1229140
2024,충청남도,친환경차,25728
2024,충청남도,내연기관차,1221288
2025,충청남도,친환경차,32402
2025,충청남도,내연기관차,1214614
2026,충청남도,친환경차,41786
2026,충청남도,내연기관차,1205230
2022,전라북도,친환경차,8552
2022,전라북도,내연기관차,963562
2023,전라북도,친환경차,14678
2023,전라북도,내연기관차,957436
2024,전라북도,친환경차,22178
2024,전라북도,내연기관차,949936
2025,전라북도,친환경차,27568
2025,전라북도,내연기관차,944546
2026,전라북도,친환경차,33183
2026,전라북도,내연기관차,938931
2022,전라남도,친환경차,9175
2022,전라남도,내연기관차,1267121
2023,전라남도,친환경차,16227
2023,전라남도,내연기관차,1260069
2024,전라남도,친환경차,25302
2024,전라남도,내연기관차,1250994
2025,전라남도,친환경차,32748
2025,전라남도,내연기관차,1243548
2026,전라남도,친환경차,42574
2026,전라남도,내연기관차,1233722
2022,경상북도,친환경차,11321
2022,경상북도,내연기관차,1505218
2023,경상북도,친환경차,19427
2023,경상북도,내연기관차,1497112
2024,경상북도,친환경차,27346
2024,경상북도,내연기관차,1489193
2025,경상북도,친환경차,34526
2025,경상북도,내연기관차,1482013
2026,경상북도,친환경차,45816
2026,경상북도,내연기관차,1470723
2022,경상남도,친환경차,14363
2022,경상남도,내연기관차,1930716
2023,경상남도,친환경차,25214
2023,경상남도,내연기관차,1919865
2024,경상남도,친환경차,39192
2024,경상남도,내연기관차,1905887
2025,경상남도,친환경차,49869
2025,경상남도,내연기관차,1895210
2026,경상남도,친환경차,69589
2026,경상남도,내연기관차,1875490
2022,제주특별자치도,친환경차,25583
2022,제주특별자치도,내연기관차,638724
2023,제주특별자치도,친환경차,32917
2023,제주특별자치도,내연기관차,631390
2024,제주특별자치도,친환경차,39472
2024,제주특별자치도,내연기관차,624835
2025,제주특별자치도,친환경차,49512
2025,제주특별자치도,내연기관차,614795
2026,제주특별자치도,친환경차,60956
2026,제주특별자치도,내연기관차,603351
