지역,휘발유,경유,엘피지,하이브리드,전기,수소,전체합계,보조금_승용,보조금_초소형,보조금_화물
서울특별시,1614450,883887,215843,324595,102103,3150,3051822,1700,750,1650
부산광역시,741636,454140,99847,200811,61422,2213,1513640,1700,656,2500
대구광역시,594528,399528,99390,117414,42725,753,1216819,1800,850,1750
인천광역시,816152,495806,100559,241503,80433,2584,1668479,1800,650,1800
광주광역시,320896,233461,84109,64979,19217,1301,708151,1900,700,1900
대전광역시,364084,217535,64649,68035,25537,1814,718725,1900,750,1800
울산광역시,307175,184573,34385,62897,13427,2899,594578,1700,700,1600
세종특별자치시,99228,58155,12703,25197,7413,553,196353,1900,800,1800
경기도,3240829,2159498,412057,656253,208446,8191,6500095,1647,563,551
강원특별자치도,393827,332676,55763,63710,25785,2551,849930,1646,274,1500
충청북도,429498,341882,70755,71721,33316,2195,920277,1707,636,1600
충청남도,574474,475509,92981,94683,40030,1756,1247016,1805,803,117
전라북도,412778,390228,92720,71224,30610,2573,972114,1800,600,1700
전라남도,533077,499847,101918,131955,41368,1206,1276296,1916,596,586
경상북도,677259,603641,125198,99807,45225,591,1516539,1752,531,354
경상남도,950891,652059,135382,197637,66487,3102,1945079,1868,650,900
제주특별자치도,329433,190592,40973,102559,60868,88,664307,1800,238,1800
