Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,단위 : 만원
,,서울,경기,강원,경남,경북,광주,대구,대전,부산,세종,울산,인천,전남,전북,제주,충남,충북,평균
,최대 보조금(만원)/승용,1700,1700,1840,2100,2100,1900,1800,1900,1700,1900,1700,1800,2300,1800,1800,2200,2200,1908.235294117647
,최대 보조금(만원)/초소형,750,700,770,750,750,700,850,750,656,800,700,650,890,700,700,850,950,759.7647058823529
,최대 보조금(만원)/화물,1650,1600,0,1800,1700,0,1750,1800,2500,1800,1600,0,1760,0,1800,2000,0,1280
,,,,,,,,,,,,,,,,,,,
,최소 보조금(만원)/승용,0,75,0,0,350,0,0,0,0,0,0,0,1640,1800,0,0,0,227.35294117647058
,최소 보조금(만원)/초소형,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29411764705882354
,최소 보조금(만원)/화물,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,보조금(만원)/승용 평균값,1700,1647.5806451612902,1646.6666666666667,1868.421052631579,1752.0833333333333,1900,1800,1900,1700,1900,1700,1800,1916.6666666666667,1800,1800,1805.8823529411766,1707.6923076923076,1784.9995897113542
,보조금(만원)/초소형 평균값,750,563.0645161290323,274.44444444444446,650.75,531.25,700,850,750,656,800,700,650,596.2857142857143,600,700,238.23529411764707,803.8461538461538,636.1103601660584
,보조금(만원)/화물 평균값,1650,551.6129032258065,0,900,354.1666666666667,0,1750,1800,2500,1800,1600,0,586.6666666666666,0,1800,117.6470588235294,0,906.4760761989805
,,,,,,,,,,,,,,,,,,,
,총 대수 ,3944,3090,617,946,870,536,4206,985,561,248,471,578,574,525,4702,599,1143,1446.764705882353
,,,,,,,,,,,,,,,,,,,
,지역별 최대 최소 보조금 및 보조금 평균값 구분,,,,,,,,,,,,,,,,,,
,최소보조금이 없는 지역은 광역시,,,,,,,,,,,,,,,,,,
,총 대수는 출고대수 + 출고 잔여대수 ,,,,,,,,,,,,,,,,,,
