"id","region","category","amount","updated_at"
90,세종,화물보조금평균값,1800,"2026-02-25 03:13:12"
91,울산,승용최대보조금,1700,"2026-02-25 03:13:12"
92,울산,초소형최대보조금,700,"2026-02-25 03:13:12"
93,울산,화물최대보조금,1600,"2026-02-25 03:13:12"
94,울산,승용최소보조금,0,"2026-02-25 03:13:12"
95,울산,초소형최소보조금,0,"2026-02-25 03:13:12"
96,울산,화물최소보조금,0,"2026-02-25 03:13:12"
97,울산,승용보조금평균값,1700,"2026-02-25 03:13:12"
98,울산,초소형보조금평균값,700,"2026-02-25 03:13:12"
99,울산,화물보조금평균값,1600,"2026-02-25 03:13:12"
100,인천,승용최대보조금,1800,"2026-02-25 03:13:12"
101,인천,초소형최대보조금,650,"2026-02-25 03:13:12"
102,인천,화물최대보조금,0,"2026-02-25 03:13:12"
103,인천,승용최소보조금,0,"2026-02-25 03:13:12"
104,인천,초소형최소보조금,0,"2026-02-25 03:13:12"
105,인천,화물최소보조금,0,"2026-02-25 03:13:12"
106,인천,승용보조금평균값,1800,"2026-02-25 03:13:12"
107,인천,초소형보조금평균값,650,"2026-02-25 03:13:12"
108,인천,화물보조금평균값,0,"2026-02-25 03:13:12"
109,전남,승용최대보조금,2300,"2026-02-25 03:13:12"
110,전남,초소형최대보조금,890,"2026-02-25 03:13:12"
111,전남,화물최대보조금,1760,"2026-02-25 03:13:12"
112,전남,승용최소보조금,1640,"2026-02-25 03:13:12"
113,전남,초소형최소보조금,0,"2026-02-25 03:13:12"
114,전남,화물최소보조금,0,"2026-02-25 03:13:12"
115,전남,승용보조금평균값,1916,"2026-02-25 03:13:12"
116,전남,초소형보조금평균값,596,"2026-02-25 03:13:12"
117,전남,화물보조금평균값,586,"2026-02-25 03:13:12"
118,전북,승용최대보조금,1800,"2026-02-25 03:13:12"
119,전북,초소형최대보조금,700,"2026-02-25 03:13:12"
120,전북,화물최대보조금,0,"2026-02-25 03:13:12"
121,전북,승용최소보조금,1800,"2026-02-25 03:13:12"
122,전북,초소형최소보조금,0,"2026-02-25 03:13:12"
123,전북,화물최소보조금,0,"2026-02-25 03:13:12"
124,전북,승용보조금평균값,1800,"2026-02-25 03:13:12"
125,전북,초소형보조금평균값,600,"2026-02-25 03:13:12"
126,전북,화물보조금평균값,0,"2026-02-25 03:13:12"
127,제주,승용최대보조금,1800,"2026-02-25 03:13:12"
128,제주,초소형최대보조금,700,"2026-02-25 03:13:12"
129,제주,화물최대보조금,1800,"2026-02-25 03:13:12"
130,제주,승용최소보조금,0,"2026-02-25 03:13:12"
131,제주,초소형최소보조금,0,"2026-02-25 03:13:12"
132,제주,화물최소보조금,0,"2026-02-25 03:13:12"
133,제주,승용보조금평균값,1800,"2026-02-25 03:13:12"
134,제주,초소형보조금평균값,700,"2026-02-25 03:13:12"
135,제주,화물보조금평균값,1800,"2026-02-25 03:13:12"
136,충남,승용최대보조금,2200,"2026-02-25 03:13:12"
137,충남,초소형최대보조금,850,"2026-02-25 03:13:12"
138,충남,화물최대보조금,2000,"2026-02-25 03:13:12"
139,충남,승용최소보조금,0,"2026-02-25 03:13:12"
140,충남,초소형최소보조금,0,"2026-02-25 03:13:12"
141,충남,화물최소보조금,0,"2026-02-25 03:13:12"
142,충남,승용보조금평균값,1805,"2026-02-25 03:13:12"
143,충남,초소형보조금평균값,238,"2026-02-25 03:13:12"
144,충남,화물보조금평균값,117,"2026-02-25 03:13:12"
145,충북,승용최대보조금,2200,"2026-02-25 03:13:12"
146,충북,초소형최대보조금,950,"2026-02-25 03:13:12"
147,충북,화물최대보조금,0,"2026-02-25 03:13:12"
148,충북,승용최소보조금,0,"2026-02-25 03:13:12"
149,충북,초소형최소보조금,0,"2026-02-25 03:13:12"
150,충북,화물최소보조금,0,"2026-02-25 03:13:12"
151,충북,승용보조금평균값,1707,"2026-02-25 03:13:12"
152,충북,초소형보조금평균값,803,"2026-02-25 03:13:12"
153,충북,화물보조금평균값,0,"2026-02-25 03:13:12"
