"id","region","year","fuel_type","count","updated_at"
1,서울,2022,태양열,0,"2026-02-25 03:13:12"
2,서울,2022,수소,2448,"2026-02-25 03:13:12"
3,서울,2022,전기,41140,"2026-02-25 03:13:12"
4,서울,2023,태양열,0,"2026-02-25 03:13:12"
5,서울,2023,수소,2922,"2026-02-25 03:13:12"
6,서울,2023,전기,59624,"2026-02-25 03:13:12"
7,서울,2024,태양열,0,"2026-02-25 03:13:12"
8,서울,2024,수소,3163,"2026-02-25 03:13:12"
9,서울,2024,전기,72877,"2026-02-25 03:13:12"
10,서울,2025,태양열,0,"2026-02-25 03:13:12"
11,서울,2025,수소,3222,"2026-02-25 03:13:12"
12,서울,2025,수소전기,8,"2026-02-25 03:13:12"
13,서울,2025,전기,83562,"2026-02-25 03:13:12"
14,서울,2026,태양열,0,"2026-02-25 03:13:12"
15,서울,2026,수소,3150,"2026-02-25 03:13:12"
16,서울,2026,수소전기,296,"2026-02-25 03:13:12"
17,서울,2026,전기,102103,"2026-02-25 03:13:12"
18,부산,2022,태양열,0,"2026-02-25 03:13:12"
19,부산,2022,수소,1329,"2026-02-25 03:13:12"
20,부산,2022,전기,12501,"2026-02-25 03:13:12"
21,부산,2023,태양열,0,"2026-02-25 03:13:12"
22,부산,2023,수소,1937,"2026-02-25 03:13:12"
23,부산,2023,전기,22114,"2026-02-25 03:13:12"
24,부산,2024,태양열,0,"2026-02-25 03:13:12"
25,부산,2024,수소,2064,"2026-02-25 03:13:12"
26,부산,2024,전기,34789,"2026-02-25 03:13:12"
27,부산,2025,태양열,0,"2026-02-25 03:13:12"
28,부산,2025,수소,2249,"2026-02-25 03:13:12"
29,부산,2025,수소전기,39,"2026-02-25 03:13:12"
30,부산,2025,전기,44591,"2026-02-25 03:13:12"
31,부산,2026,태양열,0,"2026-02-25 03:13:12"
32,부산,2026,수소,2213,"2026-02-25 03:13:12"
33,부산,2026,수소전기,334,"2026-02-25 03:13:12"
34,부산,2026,전기,61422,"2026-02-25 03:13:12"
35,대구,2022,태양열,0,"2026-02-25 03:13:12"
36,대구,2022,수소,318,"2026-02-25 03:13:12"
37,대구,2022,전기,16169,"2026-02-25 03:13:12"
38,대구,2023,태양열,0,"2026-02-25 03:13:12"
39,대구,2023,수소,558,"2026-02-25 03:13:12"
40,대구,2023,전기,24100,"2026-02-25 03:13:12"
41,대구,2024,태양열,0,"2026-02-25 03:13:12"
42,대구,2024,수소,631,"2026-02-25 03:13:12"
43,대구,2024,전기,30396,"2026-02-25 03:13:12"
44,대구,2025,태양열,0,"2026-02-25 03:13:12"
45,대구,2025,수소,700,"2026-02-25 03:13:12"
46,대구,2025,수소전기,1,"2026-02-25 03:13:12"
47,대구,2025,전기,35093,"2026-02-25 03:13:12"
